zh,eng,score,previous_score,listen_current_score,listen_previous_score,listen_score_average,running_average,pinyin
这是我的书。,This is my book.,100.0,100.0,100.0,81.0,90.5,100.0,zhè shì wǒ de shū 。
我在家吃菜。,I eat vegetables at home.,100.0,83.0,,,,,
车从窗前走。,The car passes by the window.,83.0,83.0,,,,,
早上喝水。,Drink water in the morning.,100.0,89.0,,,,,
我找我的手机。,I'm looking for my phone.,100.0,91.0,,,,,
最快的速度是多少?,What's the fastest speed?,100.0,68.0,,,,,
他从床上站起来。,He gets up from the bed.,100.0,67.0,,,,,
城里有很多茶馆。,There are many tea houses in the city.,100.0,80.0,,,,,
说中文很有趣。,Speaking Chinese is very interesting.,32.0,32.0,,,,,
我左手拿水杯。,I hold the water cup with my left hand.,100.0,,,,,,
这个菜很好吃。,This dish is very delicious.,100.0,,,,,,
我每周三去超市。,I go to the supermarket every Wednesday.,75.0,,,,,,
她最喜欢喝茶和咖啡。,She likes drinking tea and coffee the most.,84.0,,,,,,
请你帮我找一支笔。,Please help me find a pen.,100.0,,,,,,
中国菜比西餐好吃。,Chinese food is more delicious than Western food.,90.0,,,,,,
他从家走到学校。,He walks from home to school.,89.0,,,,,,
我的生日是下个月。,My birthday is next month.,100.0,,,,,,
这间房子有四个窗户。,This house has four windows.,90.0,55.0,,,,,
春天的时候花开了。,The flowers bloom in spring.,94.0,71.0,,,,,
我十八岁了，你呢？,"I'm eighteen years old, how about you?",72.0,72.0,,,,,
